name,neighbourhood_group,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedrooms,beds,baths,nb_count,host_id_count,price-transform
Rental ,Manhattan,Entire home/apt,1,40,14,4.3,12,336,40,Exempt,4.63,2.0,3,1.0,1063,12,3.1911485026854227
Loft in,Brooklyn,Entire home/apt,30,42,60,2.12,2,365,20,No License,4.38,2.0,5,2.0,1586,2,3.224515654110789
Rental ,Manhattan,Entire home/apt,30,14,123,0.57,1,76,7,No License,5.0,1.0,1,1.0,366,1,3.10150157310909
Home in,Brooklyn,Private room,30,1,20,1.0,4,269,1,No License,4.39,5.0,1,2.0,401,4,2.5208547922052063
Villa i,Queens,Private room,30,2,1497,0.03,8,365,0,No License,4.39,1.0,2,2.0,324,3,2.6170600014230736
Rental ,Manhattan,Entire home/apt,30,145,118,1.28,1,294,19,No License,4.72,1.0,2,1.0,1063,1,2.9517727088869
Home in,Bronx,Private room,30,12,36,2.25,6,179,12,No License,4.83,1.0,1,1.0,22,6,2.6253702320383843
Condo i,Manhattan,Private room,30,4,194,0.21,8,365,2,No License,4.25,1.0,1,1.0,1063,6,2.7643919430728485
Home in,Brooklyn,Private room,30,29,138,1.54,1,364,12,No License,4.83,1.0,1,1.0,95,1,2.9792605776210648
Townhou,Manhattan,Entire home/apt,3,7,19,0.91,4,179,7,Exempt,4.86,4.0,6,2.5,1063,4,3.3797252841712733
Home in,Queens,Private room,30,122,34,4.47,1,176,42,No License,4.77,1.0,1,1.0,170,1,2.8488576348688746
Home in,Queens,Private room,30,4,653,0.13,3,89,0,No License,5.0,1.0,1,1.0,46,3,2.671375367473904
Loft in,Brooklyn,Entire home/apt,30,8,211,0.07,1,217,2,No License,5.0,0.0,1,1.0,1586,1,2.887312033330232
Rental ,Brooklyn,Entire home/apt,30,31,1610,0.21,1,56,0,No License,4.68,1.0,1,1.0,664,1,2.9276854563279033
Rental ,Brooklyn,Entire home/apt,30,38,41,0.34,1,358,19,No License,4.87,1.0,2,1.0,178,1,3.186481982394027
Rental ,Brooklyn,Entire home/apt,30,1,153,0.19,1,108,1,No License,4.39,1.0,1,1.0,664,1,2.8648375825156465
Rental ,Brooklyn,Private room,30,8,1526,0.06,1,89,0,No License,4.86,1.0,1,1.0,969,1,2.887312033330232
Home in,Brooklyn,Entire home/apt,30,138,75,4.72,1,200,35,No License,4.99,2.0,2,1.0,751,1,3.0462975359547335
Rental ,Queens,Entire home/apt,30,38,45,2.8,1,365,32,No License,4.61,1.0,3,1.0,136,1,2.936957517084059
Home in,Brooklyn,Private room,30,10,36,0.87,6,307,10,No License,4.2,1.0,1,1.0,84,6,2.6922125944076853
Home in,Queens,Entire home/apt,30,18,158,0.16,3,130,1,No License,4.72,2.0,2,1.0,91,3,2.8687030856226254
Home in,Brooklyn,Private room,30,125,35,2.06,6,353,27,No License,4.78,1.0,2,1.0,1586,6,2.698877147489477
Rental ,Brooklyn,Private room,5,162,9,2.48,2,221,31,Exempt,4.9,1.0,2,1.0,1586,2,3.0679137375811734
Rental ,Manhattan,Entire home/apt,30,4,7,0.42,133,343,4,No License,4.0,0.0,1,1.0,786,113,2.8836824505315013
