name,neighbourhood_group,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedrooms,beds,baths,nb_count,host_id_count
Rental ,Bronx,Entire home/apt,30,19,95,1.4,4,330,17,No License,4.84,3.0,4,2.0,24,4
Rental ,Manhattan,Entire home/apt,30,15,78,0.34,3,335,4,No License,5.0,1.0,2,1.0,1063,3
Rental ,Queens,Private room,30,11,52,0.44,2,363,8,No License,5.0,1.0,1,1.0,361,2
Service,Brooklyn,Entire home/apt,1,5,14,2.11,2,39,5,Exempt,5.0,2.0,3,1.0,301,1
Rental ,Queens,Private room,1,4,39,1.36,5,261,4,Exempt,4.0,1.0,1,1.0,138,5
Rental ,Queens,Entire home/apt,30,43,1146,0.79,1,0,0,No License,4.6,1.0,2,1.0,91,1
Rental ,Brooklyn,Entire home/apt,30,237,169,2.29,1,365,1,No License,4.38,2.0,3,1.0,35,1
Rental ,Manhattan,Entire home/apt,2,12,16,4.86,36,33,12,Exempt,4.67,2.0,2,1.0,942,32
Rental ,Queens,Private room,30,4,1648,0.07,1,0,0,No License,5.0,0.0,1,0.0,69,1
Rental ,Bronx,Entire home/apt,30,259,127,2.74,5,365,6,No License,4.78,1.0,2,1.0,66,5
Rental ,Bronx,Private room,30,38,112,0.67,2,365,11,No License,4.63,1.0,1,1.0,32,2
Home in,Queens,Private room,1,85,11,8.5,1,256,85,OSE,4.96,1.0,1,1.0,21,1
Rental ,Brooklyn,Private room,30,3,342,0.14,12,303,1,No License,4.33,1.0,1,2.0,1586,11
Rental ,Brooklyn,Private room,30,1,169,0.18,9,365,1,No License,4.39,1.0,1,1.0,1586,2
Rental ,Brooklyn,Private room,30,2,108,0.09,19,363,1,No License,4.39,1.0,1,1.0,301,9
Rental ,Manhattan,Entire home/apt,30,3,390,0.04,33,179,0,No License,4.33,1.0,2,1.0,942,24
Townhou,Brooklyn,Entire home/apt,30,119,31,2.21,2,334,22,No License,4.87,2.0,3,1.0,270,2
Home in,Queens,Private room,30,7,1711,0.11,2,0,0,No License,4.29,1.0,1,1.0,58,2
Rental ,Brooklyn,Private room,30,151,51,4.53,5,249,49,No License,4.66,1.0,1,1.0,1586,5
Rental ,Manhattan,Entire home/apt,3,9,19,2.35,1,156,9,Exempt,4.67,1.0,1,1.0,84,1
Loft in,Manhattan,Entire home/apt,30,37,194,0.64,1,358,5,No License,4.95,0.0,2,1.5,629,1
Condo i,Manhattan,Entire home/apt,30,1,1344,0.02,133,337,0,No License,4.39,0.0,1,1.0,191,113
Rental ,Queens,Private room,30,15,191,0.18,1,89,1,No License,4.8,1.0,1,1.0,253,1
Rental ,Brooklyn,Private room,30,7,110,0.79,1,90,7,No License,4.86,1.0,1,1.0,1586,1
Condo i,Manhattan,Entire home/apt,30,20,38,1.34,1,23,16,No License,5.0,1.0,1,1.0,191,1
Loft in,Brooklyn,Private room,30,13,1706,0.15,2,0,0,No License,4.85,2.0,1,1.0,190,2
Townhou,Brooklyn,Private room,2,177,127,4.46,1,160,46,OSE,4.98,1.0,1,1.0,70,1
Rental ,Queens,Private room,30,42,54,3.16,3,180,40,No License,5.0,1.0,1,1.0,253,3
